1,1,5,70
2,1,3,20
3,1,6,50
4,1,2,50
5,2,1,20
6,2,2,30
7,2,4,30
8,3,5,50
9,3,3,30
10,3,6,30
11,3,1,20
12,3,2,60
13,3,4,40
14,4,2,60
15,4,4,30
16,4,1,20
17,4,6,30
18,5,2,60
19,5,4,50
20,5,6,40
21,6,1,30
22,6,6,20
23,6,3,50
24,7,3,20
25,7,2,30
26,7,4,40
27,7,1,30
28,8,6,60
29,8,4,40
30,8,1,20
31,9,3,50
32,9,4,50
33,9,5,50
34,9,2,40
35,10,5,30
36,10,6,20
37,10,3,50
38,10,2,50
39,10,1,60
40,11,1,50
41,11,3,30
42,11,5,60
43,11,6,40
44,12,6,60
45,12,4,30
46,12,2,20
47,12,3,40
48,13,1,30
49,13,4,60
50,14,4,20
51,14,3,40
52,14,1,60
53,15,4,30
54,15,2,60
55,15,5,30
56,15,3,20
57,16,3,30
58,16,1,60
59,16,2,30
60,16,4,30
61,17,2,20
62,17,4,20
63,17,6,40
64,18,5,20
65,18,1,50
66,18,4,20
67,18,3,40
68,18,6,20
69,19,3,30
70,19,5,50
71,20,1,50
72,20,2,40
73,20,3,40
74,20,4,30
75,21,6,20
76,22,1,20
77,22,5,40
78,22,3,40
79,22,6,60
80,23,1,40
81,23,4,40
82,24,4,50
83,24,5,40
84,24,1,20
85,24,6,50
86,25,6,50
87,25,3,60
88,25,1,50
89,26,4,20
90,26,6,60
91,26,1,30
92,26,2,40
93,26,3,40
94,27,4,50
95,27,3,20
96,27,5,20
97,27,1,60
98,28,6,60
99,28,5,20
100,28,4,30
101,29,3,30
102,29,5,60
103,29,4,20
104,30,3,20
105,30,2,20
106,30,6,50
107,30,5,50
108,30,4,60
109,31,6,50
110,31,3,20
111,31,5,50
112,32,1,50
113,32,3,30
114,33,3,40
115,33,4,30
116,34,3,20
117,34,1,20
118,34,5,60
119,35,5,50
120,35,6,40
121,36,2,30
122,36,3,40
123,36,5,60
124,37,3,40
125,37,5,30
126,37,2,30
127,38,5,60
128,38,1,20
129,38,6,50
130,39,1,50
131,39,3,50
132,39,6,50
133,39,4,20
134,40,2,20
135,40,1,40
136,40,3,60
137,40,4,60
138,41,3,60
139,41,4,40
140,41,1,50
141,42,2,60
142,42,1,60
143,42,6,50
144,42,4,50
145,43,4,60
146,43,3,20
147,43,2,30
148,43,6,30
149,43,5,40
150,44,3,40
151,44,2,20
152,44,4,50
153,44,1,60
154,44,6,20
155,44,5,30
156,45,5,40
157,45,4,30
158,45,1,20
159,45,3,50
160,46,3,60
161,46,5,30
162,46,4,50
163,46,6,20
164,46,1,30
165,46,2,60
166,47,4,40
167,48,2,20
168,48,1,50
169,48,6,30
170,48,3,60
171,48,5,20
172,49,4,60
173,49,3,40
174,50,4,20
175,50,3,20
176,50,1,60
177,51,4,20
178,51,5,30
179,51,6,30
180,52,1,20
181,53,2,40
182,53,4,20
183,53,6,50
184,54,4,50
185,54,5,50
186,55,6,50
187,55,5,20
188,55,2,50
189,55,1,30
190,55,4,30
191,56,5,30
192,56,3,30
193,57,3,20
194,57,5,40
195,57,1,30
196,58,6,40
197,58,5,50
198,58,4,60
199,59,5,60
200,59,1,50
201,59,4,30
202,59,3,50
203,60,2,40
204,60,4,20
205,60,1,30
206,60,6,30
207,61,5,60
208,61,2,30
209,61,1,30
210,61,6,30
211,61,4,20
212,62,2,20
213,62,6,60
214,62,3,60
215,62,5,30
216,62,4,50
217,62,1,20
218,63,1,20
219,63,5,60
220,64,4,30
221,64,1,30
222,65,3,60
223,65,1,20
224,65,2,40
225,65,4,60
226,66,6,60
227,66,4,50
228,66,1,40
229,67,2,50
230,67,1,20
231,67,5,40
232,68,4,20
233,68,1,60
234,68,5,20
235,68,3,30
236,68,6,30
237,69,5,50
238,69,6,60
239,69,3,20
240,69,1,20
241,70,2,20
242,70,1,60
243,70,5,20
244,71,3,40
245,71,1,50
246,72,3,50
247,72,5,50
248,72,6,50
249,72,2,60
250,73,4,30
251,73,3,40
252,74,3,60
253,74,1,50
254,74,6,40
255,74,5,20
256,74,4,30
257,75,2,40
258,75,6,60
259,75,4,60
260,75,3,60
261,76,3,20
262,76,5,30
263,77,2,40
264,77,4,40
265,77,5,50
266,78,1,40
267,78,5,50
268,78,3,40
269,79,4,60
270,79,5,30
271,80,3,40
272,80,4,40
273,80,1,20
274,80,6,20
275,81,2,50
276,81,1,20
277,82,1,40
278,82,3,20
279,82,5,50
280,82,2,20
281,83,4,40
282,83,6,30
283,83,1,60
